Date,GDP
2017-06-06,19451201.11956522
2017-06-07,19453689.717391305
2017-06-08,19456178.31521739
2017-06-09,19458666.913043477
2017-06-10,19461155.510869566
2017-06-11,19463644.108695652
2017-06-12,19466132.70652174
2017-06-13,19468621.304347824
2017-06-14,19471109.902173914
2017-06-15,19473598.5
2017-06-16,19476087.097826086
2017-06-17,19478575.695652176
2017-06-18,19481064.29347826
2017-06-19,19483552.891304348
2017-06-20,19486041.489130434
2017-06-21,19488530.086956523
2017-06-22,19491018.68478261
2017-06-23,19493507.282608695
2017-06-24,19495995.88043478
2017-06-25,19498484.47826087
2017-06-26,19500973.076086957
2017-06-27,19503461.673913043
2017-06-28,19505950.27173913
2017-06-29,19508438.86956522
2017-06-30,19510927.467391305
2017-07-01,19513416.06521739
2017-07-02,19515904.663043477
2017-07-03,19518393.260869566
2017-07-04,19520881.858695652
2017-07-05,19523370.45652174
2017-07-06,19525859.054347824
2017-07-07,19528347.652173914
2017-07-08,19530836.25
2017-07-09,19533324.847826086
2017-07-10,19535813.445652176
2017-07-11,19538302.04347826
2017-07-12,19540790.641304348
2017-07-13,19543279.239130434
2017-07-14,19545767.836956523
2017-07-15,19548256.43478261
2017-07-16,19550745.032608695
2017-07-17,19553233.63043478
2017-07-18,19555722.22826087
2017-07-19,19558210.826086957
2017-07-20,19560699.423913043
2017-07-21,19563188.02173913
2017-07-22,19565676.61956522
2017-07-23,19568165.217391305
2017-07-24,19570653.81521739
2017-07-25,19573142.413043477
2017-07-26,19575631.010869566
2017-07-27,19578119.608695652
2017-07-28,19580608.20652174
2017-07-29,19583096.804347824
2017-07-30,19585585.402173914
2017-07-31,19588074.0
2017-08-01,19590723.510869566
2017-08-02,19593373.02173913
2017-08-03,19596022.532608695
2017-08-04,19598672.04347826
2017-08-05,19601321.554347824
2017-08-06,19603971.06521739
2017-08-07,19606620.576086957
2017-08-08,19609270.086956523
2017-08-09,19611919.597826086
2017-08-10,19614569.108695652
2017-08-11,19617218.61956522
2017-08-12,19619868.13043478
2017-08-13,19622517.641304348
2017-08-14,19625167.152173914
2017-08-15,19627816.663043477
2017-08-16,19630466.173913043
2017-08-17,19633115.68478261
2017-08-18,19635765.195652176
2017-08-19,19638414.70652174
2017-08-20,19641064.217391305
2017-08-21,19643713.72826087
2017-08-22,19646363.239130434
2017-08-23,19649012.75
2017-08-24,19651662.260869566
2017-08-25,19654311.77173913
2017-08-26,19656961.282608695
2017-08-27,19659610.79347826
2017-08-28,19662260.304347824
