CAPOP,Date
39449466.08493164,2017-04-27
39449898.12876726,2017-04-28
39450330.17260288,2017-04-29
39450762.216438495,2017-04-30
39451194.26027411,2017-05-01
39451626.30410973,2017-05-02
39452058.34794535,2017-05-03
39452490.391780965,2017-05-04
39452922.43561658,2017-05-05
39453354.4794522,2017-05-06
39453786.52328782,2017-05-07
39454218.567123435,2017-05-08
39454650.61095905,2017-05-09
39455082.65479467,2017-05-10
39455514.69863029,2017-05-11
39455946.742465906,2017-05-12
39456378.78630152,2017-05-13
39456810.83013714,2017-05-14
39457242.87397276,2017-05-15
39457674.917808376,2017-05-16
39458106.961643994,2017-05-17
39458539.00547961,2017-05-18
39458971.04931523,2017-05-19
39459403.09315085,2017-05-20
39459835.136986464,2017-05-21
39460267.18082208,2017-05-22
39460699.2246577,2017-05-23
39461131.26849332,2017-05-24
39461563.312328935,2017-05-25
39461995.35616455,2017-05-26
39462427.40000017,2017-05-27
39462859.44383579,2017-05-28
39463291.487671405,2017-05-29
39463723.53150702,2017-05-30
39464155.57534264,2017-05-31
39464587.61917826,2017-06-01
39465019.663013875,2017-06-02
39465451.70684949,2017-06-03
39465883.75068511,2017-06-04
39466315.79452073,2017-06-05
39466747.838356346,2017-06-06
39467179.88219196,2017-06-07
39467611.92602758,2017-06-08
39468043.9698632,2017-06-09
39468476.01369882,2017-06-10
39468908.057534434,2017-06-11
39469340.10137005,2017-06-12
39469772.14520567,2017-06-13
39470204.18904129,2017-06-14
39470636.232876904,2017-06-15
39471068.27671252,2017-06-16
39471500.32054814,2017-06-17
39471932.36438376,2017-06-18
39472364.408219375,2017-06-19
39472796.45205499,2017-06-20
39473228.49589061,2017-06-21
39473660.53972623,2017-06-22
39474092.583561845,2017-06-23
39474524.62739746,2017-06-24
39474956.67123308,2017-06-25
39475388.7150687,2017-06-26
39475820.758904316,2017-06-27
39476252.80273993,2017-06-28
39476684.84657555,2017-06-29
39477116.89041117,2017-06-30
39477548.934246786,2017-07-01
39477980.9780824,2017-07-02
39478413.02191802,2017-07-03
39478845.06575364,2017-07-04
39479277.10958926,2017-07-05
39479709.153424874,2017-07-06
39480141.19726049,2017-07-07
39480573.24109611,2017-07-08
39481005.28493173,2017-07-09
39481437.328767344,2017-07-10
39481869.37260296,2017-07-11
39482301.41643858,2017-07-12
39482733.4602742,2017-07-13
39483165.504109815,2017-07-14
39483597.54794543,2017-07-15
39484029.59178105,2017-07-16
39484461.63561667,2017-07-17
39484893.679452285,2017-07-18
39485325.7232879,2017-07-19
39485757.76712352,2017-07-20
39486189.81095914,2017-07-21
39486621.854794756,2017-07-22
39487053.89863037,2017-07-23
39487485.94246599,2017-07-24
39487917.98630161,2017-07-25
39488350.030137226,2017-07-26
39488782.07397284,2017-07-27
39489214.11780846,2017-07-28
39489646.16164408,2017-07-29
39490078.2054797,2017-07-30
39490510.249315314,2017-07-31
39490942.29315093,2017-08-01
39491374.33698655,2017-08-02
39491806.38082217,2017-08-03
39492238.424657784,2017-08-04
39492670.4684934,2017-08-05
39493102.51232902,2017-08-06
39493534.55616464,2017-08-07
39493966.600000255,2017-08-08
39494398.64383587,2017-08-09
39494830.68767149,2017-08-10
39495262.73150711,2017-08-11
39495694.775342725,2017-08-12
39496126.81917834,2017-08-13
39496558.86301396,2017-08-14
39496990.90684958,2017-08-15
39497422.950685196,2017-08-16
39497854.99452081,2017-08-17
39498287.03835643,2017-08-18
39498719.08219205,2017-08-19
39499151.126027666,2017-08-20
39499583.16986328,2017-08-21
39500015.2136989,2017-08-22
39500447.25753452,2017-08-23
39500879.30137014,2017-08-24
39501311.345205754,2017-08-25
39501743.38904137,2017-08-26
39502175.43287699,2017-08-27
39502607.47671261,2017-08-28
39503039.520548224,2017-08-29
39503471.56438384,2017-08-30
39503903.60821946,2017-08-31
39504335.65205508,2017-09-01
39504767.695890695,2017-09-02
39505199.73972631,2017-09-03
39505631.78356193,2017-09-04
39506063.82739755,2017-09-05
39506495.871233165,2017-09-06
39506927.91506878,2017-09-07
39507359.9589044,2017-09-08
39507792.00274002,2017-09-09
39508224.046575636,2017-09-10
39508656.09041125,2017-09-11
39509088.13424687,2017-09-12
39509520.17808249,2017-09-13
39509952.221918106,2017-09-14
39510384.26575372,2017-09-15
39510816.30958934,2017-09-16
39511248.35342496,2017-09-17
39511680.39726058,2017-09-18
39512112.441096194,2017-09-19
39512544.48493181,2017-09-20
39512976.52876743,2017-09-21
39513408.57260305,2017-09-22
39513840.616438664,2017-09-23
39514272.66027428,2017-09-24
39514704.7041099,2017-09-25
39515136.74794552,2017-09-26
39515568.791781135,2017-09-27
39516000.83561675,2017-09-28
39516432.87945237,2017-09-29
39516864.92328799,2017-09-30
39517296.967123605,2017-10-01
39517729.01095922,2017-10-02
39518161.05479484,2017-10-03
39518593.09863046,2017-10-04
39519025.142466076,2017-10-05
39519457.18630169,2017-10-06
39519889.23013731,2017-10-07
39520321.27397293,2017-10-08
39520753.317808546,2017-10-09
39521185.361644164,2017-10-10
39521617.40547978,2017-10-11
39522049.4493154,2017-10-12
